"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_PROTEIN_SECRETION",0.000921459970322712,0.00452151223115635,0.477270815362862,-0.54334243169519,-1.78398458051642,93,"ENSMUSG00000028488;ENSMUSG00000021072;ENSMUSG00000047126;ENSMUSG00000038708;ENSMUSG00000021003;ENSMUSG00000035152;ENSMUSG00000025351;ENSMUSG00000067851;ENSMUSG00000074582;ENSMUSG00000026878;ENSMUSG00000004319;ENSMUSG00000021686;ENSMUSG00000078566;ENSMUSG00000054693;ENSMUSG00000063077;ENSMUSG00000015749;ENSMUSG00000030754;ENSMUSG00000002741;ENSMUSG00000027879;ENSMUSG00000063358;ENSMUSG00000029407;ENSMUSG00000020946;ENSMUSG00000023830;ENSMUSG00000027519;ENSMUSG00000020541;ENSMUSG00000026131;ENSMUSG00000032096;ENSMUSG00000031731;ENSMUSG00000032458;ENSMUSG00000026718;ENSMUSG00000035325;ENSMUSG00000033792;ENSMUSG00000029048;ENSMUSG00000025224;ENSMUSG00000020122"
"HALLMARK_E2F_TARGETS",0.00351089407626383,0.014628725317766,0.431707695803346,-0.401294930178344,-1.46501769403766,196,"ENSMUSG00000029591;ENSMUSG00000041712;ENSMUSG00000023067;ENSMUSG00000062203;ENSMUSG00000068101;ENSMUSG00000040084;ENSMUSG00000020330;ENSMUSG00000020290;ENSMUSG00000028873;ENSMUSG00000006398;ENSMUSG00000029366;ENSMUSG00000066232;ENSMUSG00000054717;ENSMUSG00000017716;ENSMUSG00000020471;ENSMUSG00000023505;ENSMUSG00000015749;ENSMUSG00000032218;ENSMUSG00000062248;ENSMUSG00000021374;ENSMUSG00000030867;ENSMUSG00000023015;ENSMUSG00000037544;ENSMUSG00000020534;ENSMUSG00000027496;ENSMUSG00000009575;ENSMUSG00000049932;ENSMUSG00000020649;ENSMUSG00000022021;ENSMUSG00000024590;ENSMUSG00000037313;ENSMUSG00000002055;ENSMUSG00000028792;ENSMUSG00000020413;ENSMUSG00000058290;ENSMUSG00000032178;ENSMUSG00000028832;ENSMUSG00000028678;ENSMUSG00000015176;ENSMUSG00000031669;ENSMUSG00000029191;ENSMUSG00000030677;ENSMUSG00000031004;ENSMUSG00000026174;ENSMUSG00000004099;ENSMUSG00000038759;ENSMUSG00000025758;ENSMUSG00000034311;ENSMUSG00000020897;ENSMUSG00000046179;ENSMUSG00000019942;ENSMUSG00000028633;ENSMUSG00000005233;ENSMUSG00000020914;ENSMUSG00000029521;ENSMUSG00000026196;ENSMUSG00000032477;ENSMUSG00000015217;ENSMUSG00000058799;ENSMUSG00000029730"
"HALLMARK_MITOTIC_SPINDLE",0.00593457080364736,0.0228252723217206,0.407017918923954,-0.409415940833435,-1.49657056800412,197,"ENSMUSG00000064302;ENSMUSG00000022957;ENSMUSG00000027469;ENSMUSG00000026622;ENSMUSG00000025733;ENSMUSG00000040549;ENSMUSG00000020745;ENSMUSG00000067851;ENSMUSG00000026812;ENSMUSG00000018707;ENSMUSG00000022770;ENSMUSG00000030397;ENSMUSG00000021365;ENSMUSG00000020716;ENSMUSG00000042524;ENSMUSG00000063077;ENSMUSG00000017716;ENSMUSG00000021823;ENSMUSG00000066877;ENSMUSG00000049550;ENSMUSG00000035437;ENSMUSG00000032218;ENSMUSG00000027379;ENSMUSG00000030867;ENSMUSG00000032220;ENSMUSG00000023015;ENSMUSG00000037544;ENSMUSG00000036777;ENSMUSG00000020315;ENSMUSG00000027475;ENSMUSG00000019261;ENSMUSG00000027496;ENSMUSG00000024805;ENSMUSG00000020900;ENSMUSG00000024795;ENSMUSG00000045180;ENSMUSG00000025474;ENSMUSG00000069662;ENSMUSG00000024120;ENSMUSG00000037148;ENSMUSG00000024590;ENSMUSG00000031955;ENSMUSG00000032254;ENSMUSG00000005871;ENSMUSG00000057738;ENSMUSG00000052144;ENSMUSG00000031592;ENSMUSG00000058290;ENSMUSG00000028678;ENSMUSG00000012443;ENSMUSG00000041977;ENSMUSG00000026131;ENSMUSG00000029191;ENSMUSG00000030677;ENSMUSG00000027878;ENSMUSG00000006740;ENSMUSG00000034311;ENSMUSG00000024790;ENSMUSG00000021068;ENSMUSG00000036104;ENSMUSG00000019942;ENSMUSG00000027699"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00811672311034857,0.0289882968226735,0.380730400722792,-0.471978811400976,-1.57151413473483,98,"ENSMUSG00000001729;ENSMUSG00000028645;ENSMUSG00000047126;ENSMUSG00000027999;ENSMUSG00000023067;ENSMUSG00000002496;ENSMUSG00000032601;ENSMUSG00000028518;ENSMUSG00000020532;ENSMUSG00000030595;ENSMUSG00000036707;ENSMUSG00000022812;ENSMUSG00000063358;ENSMUSG00000023027;ENSMUSG00000018932;ENSMUSG00000021936;ENSMUSG00000027490;ENSMUSG00000038696;ENSMUSG00000043733;ENSMUSG00000025949;ENSMUSG00000020048;ENSMUSG00000001847;ENSMUSG00000059883;ENSMUSG00000020366;ENSMUSG00000025583;ENSMUSG00000026942;ENSMUSG00000024858;ENSMUSG00000020122;ENSMUSG00000047281;ENSMUSG00000019942;ENSMUSG00000030602;ENSMUSG00000040385"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00988735003830448,0.0326861193246835,0.380730400722792,-0.526318977730785,-1.65212716498803,67,"ENSMUSG00000015568;ENSMUSG00000022463;ENSMUSG00000025203;ENSMUSG00000032193;ENSMUSG00000093930;ENSMUSG00000001467;ENSMUSG00000006932;ENSMUSG00000058258;ENSMUSG00000022037;ENSMUSG00000025137;ENSMUSG00000028967;ENSMUSG00000023905;ENSMUSG00000057614;ENSMUSG00000024378;ENSMUSG00000027712;ENSMUSG00000024665;ENSMUSG00000026944;ENSMUSG00000021670"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0104595581838987,0.0326861193246835,0.380730400722792,0.443284837849218,1.53545358279479,182,"ENSMUSG00000038393;ENSMUSG00000005667;ENSMUSG00000093661;ENSMUSG00000035385;ENSMUSG00000024778;ENSMUSG00000040483;ENSMUSG00000021025;ENSMUSG00000018899;ENSMUSG00000027580;ENSMUSG00000042190;ENSMUSG00000031712;ENSMUSG00000038179;ENSMUSG00000004266;ENSMUSG00000020638;ENSMUSG00000035373;ENSMUSG00000016206;ENSMUSG00000022504;ENSMUSG00000031838;ENSMUSG00000060586;ENSMUSG00000074896;ENSMUSG00000047446;ENSMUSG00000029417;ENSMUSG00000020572;ENSMUSG00000036594;ENSMUSG00000025498;ENSMUSG00000074151;ENSMUSG00000033355;ENSMUSG00000023206;ENSMUSG00000023341;ENSMUSG00000042726;ENSMUSG00000070034;ENSMUSG00000027514;ENSMUSG00000039236;ENSMUSG00000027962;ENSMUSG00000039853;ENSMUSG00000030255;ENSMUSG00000028268;ENSMUSG00000060550;ENSMUSG00000001281;ENSMUSG00000024610;ENSMUSG00000025492;ENSMUSG00000039699;ENSMUSG00000053475;ENSMUSG00000015671;ENSMUSG00000002325;ENSMUSG00000037649;ENSMUSG00000027366;ENSMUSG00000079197;ENSMUSG00000036381;ENSMUSG00000027466;ENSMUSG00000000275;ENSMUSG00000039304;ENSMUSG00000034855;ENSMUSG00000060591;ENSMUSG00000070327"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0118206080823145,0.0347664943597486,0.380730400722792,0.515733975210639,1.66966325330129,95,"ENSMUSG00000038393;ENSMUSG00000018899;ENSMUSG00000027580;ENSMUSG00000031712;ENSMUSG00000020638;ENSMUSG00000031838;ENSMUSG00000057143;ENSMUSG00000074896;ENSMUSG00000025498;ENSMUSG00000033355;ENSMUSG00000023341;ENSMUSG00000055447;ENSMUSG00000028270;ENSMUSG00000060441;ENSMUSG00000042726;ENSMUSG00000070034;ENSMUSG00000039236;ENSMUSG00000039853;ENSMUSG00000028268;ENSMUSG00000060550;ENSMUSG00000024610;ENSMUSG00000022906;ENSMUSG00000025492;ENSMUSG00000002227;ENSMUSG00000039699;ENSMUSG00000033446;ENSMUSG00000002325;ENSMUSG00000079197;ENSMUSG00000000275;ENSMUSG00000034855;ENSMUSG00000060591;ENSMUSG00000026581;ENSMUSG00000038521;ENSMUSG00000025491;ENSMUSG00000032596;ENSMUSG00000096727;ENSMUSG00000047735;ENSMUSG00000024338;ENSMUSG00000029798;ENSMUSG00000020641;ENSMUSG00000027078;ENSMUSG00000060073;ENSMUSG00000045932"
"HALLMARK_MYC_TARGETS_V2",0.0233663824143546,0.0649066178176516,0.352487857583619,-0.505793544370461,-1.55905413238067,57,"ENSMUSG00000000628;ENSMUSG00000035049;ENSMUSG00000029591;ENSMUSG00000023988;ENSMUSG00000004356;ENSMUSG00000026127;ENSMUSG00000027227;ENSMUSG00000002319;ENSMUSG00000053801;ENSMUSG00000030867;ENSMUSG00000024613;ENSMUSG00000042729;ENSMUSG00000020079;ENSMUSG00000001674;ENSMUSG00000024785;ENSMUSG00000015176;ENSMUSG00000037278;ENSMUSG00000025758"
"HALLMARK_COAGULATION",0.032778342337723,0.0862587956255869,0.321775918075361,0.479734421901439,1.55241069331337,94,"ENSMUSG00000027875;ENSMUSG00000037411;ENSMUSG00000020044;ENSMUSG00000006356;ENSMUSG00000039007"
"HALLMARK_APOPTOSIS",0.0483005366726297,0.115001277791975,0.276500599254472,0.39467676770075,1.33568207526983,141,"ENSMUSG00000056666;ENSMUSG00000038393;ENSMUSG00000025408;ENSMUSG00000015312;ENSMUSG00000020044;ENSMUSG00000024778;ENSMUSG00000018899;ENSMUSG00000036446;ENSMUSG00000031016;ENSMUSG00000040061;ENSMUSG00000050335;ENSMUSG00000039239;ENSMUSG00000019929;ENSMUSG00000003541;ENSMUSG00000025358;ENSMUSG00000022982;ENSMUSG00000028657;ENSMUSG00000026879;ENSMUSG00000024290;ENSMUSG00000023927"
