"gene","degree","betweenness","is_seed"
"Plxna1",17,38.4,TRUE
"Plxna3",16,22.4,TRUE
"Plxna4",14,14.8,FALSE
"Nrp1",13,9.8,FALSE
"Nrp2",11,5.2,FALSE
"Sema5b",5,0.2,TRUE
"Sema6b",5,0,FALSE
"Sema6a",5,0,FALSE
"Sema3c",5,0,FALSE
"Sema3e",5,0,FALSE
"Sema3f",5,0,FALSE
"Sema3d",4,0,FALSE
"Sema5a",4,0,FALSE
"Sema3b",4,0,FALSE
"Farp2",4,0,FALSE
"Sema6c",3,0,FALSE
"Sema6d",3,0,FALSE
"A530064D06Rik",1,0,FALSE
