"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006805","xenobiotic metabolic process","17/171","104/12443",0.163461538461538,11.8944556905083,13.1694520331476,4.86615468698318e-14,1.12505496363051e-10,1.06799289709052e-10,"Gstm4/Cyp2c55/Cyp2b9/Cyp46a1/Gstm1/Gstm2/Cyp2c29/Gsta2/Cyp2b13/Cyp2c69/Gstp2/Cyp3a11/Rorc/Cyp2c40/Fmo2/Gsta1/Gsta13",17
"GO:0033559","unsaturated fatty acid metabolic process","17/171","127/12443",0.133858267716535,9.74034166781784,11.6864043997553,1.4394802747438e-12,1.66403919760383e-09,1.57964019623201e-09,"Cyp2c55/Cyp2b9/Gstm1/Ces2a/Cyp2c29/Fabp5/Cyp2b13/Cyp2c69/Scd1/Gstp2/Alox12/Cyp2c40/Ptgds/Cyp4a12b/Elovl3/Ces2h/Gsta1",17
"GO:0071466","cellular response to xenobiotic stimulus","18/171","159/12443",0.113207547169811,8.23766964581264,10.8420871801922,5.65011655912687e-12,4.35435649490044e-09,4.13350632483492e-09,"Gstm4/Cyp2c55/Gstm3/Cyp2b9/Cyp46a1/Gstm1/Gstm2/Cyp2c29/Gsta2/Cyp2b13/Cyp2c69/Gstp2/Cyp3a11/Rorc/Cyp2c40/Fmo2/Gsta1/Gsta13",18
"GO:0006690","icosanoid metabolic process","15/171","117/12443",0.128205128205128,9.32898485530064,10.6846278959486,5.94912860685891e-11,2.89402231325183e-08,2.74723935673378e-08,"Cyp2c55/Cyp2b9/Gstm1/Ces2a/Cyp2c29/Fabp5/Cyp2b13/Cyp2c69/Gstp2/Alox12/Cyp2c40/Ptgds/Cyp4a12b/Ces2h/Gsta1",15
"GO:0042178","xenobiotic catabolic process","10/171","38/12443",0.263157894736842,19.1489689135119,13.2260710430853,6.25869877433354e-11,2.89402231325183e-08,2.74723935673378e-08,"Gstm4/Cyp2c55/Cyp2b9/Gstm1/Gstm2/Cyp2c29/Cyp2b13/Cyp2c69/Cyp3a11/Cyp2c40",10
"GO:0001676","long-chain fatty acid metabolic process","13/171","126/12443",0.103174603174603,7.50761162164671,8.66642351067445,1.75326747266593e-08,6.75592399467272e-06,6.41326786054117e-06,"Gstm4/Cyp2c55/Cyp2b9/Gstm1/Gstm2/Cyp2c29/Cyp2b13/Cyp2c69/Gstp2/Alox12/Cyp2c40/Ptgds/Cyp4a12b",13
"GO:0016053","organic acid biosynthetic process","19/171","298/12443",0.063758389261745,4.63944817300522,7.50637733715795,2.65292219351702e-08,8.76222301630192e-06,8.31780868192929e-06,"Gstm4/Per2/Csad/Gstm1/Osbpl3/Gstm2/Fabp5/Cyp2c69/Dhrs9/Scd1/Gstp2/Mthfd2/Mthfd1l/Alox12/Cyp2c40/Ptgds/Cyp4a12b/Elovl3/Asns",19
"GO:0006631","fatty acid metabolic process","22/171","406/12443",0.0541871921182266,3.94298965805318,7.11669089007446,3.7489077261566e-08,1.08343433285926e-05,1.02848323803112e-05,"Gstm4/Cyp2c55/Cyp2b9/Per2/Gstm1/Gstm2/Ces2a/Cyp2c29/Fabp5/Cyp2b13/Cyp2c69/Scd1/Lpin1/Gstp2/Alox12/Cyp2c40/Ptgds/Cyp4a12b/Elovl3/Ces2h/Fmo2/Gsta1",22
"GO:0120254","olefinic compound metabolic process","14/171","163/12443",0.0858895705521472,6.24984752269221,7.96391817208205,5.14091473776752e-08,1.32064387485761e-05,1.25366166412225e-05,"Cyp2c55/Cyp2b9/Cyp46a1/Ces2a/Cyp2c29/Cyp2b13/Cyp2c69/Dhrs9/Gstp2/Rdh11/Alox12/Cyp2c40/Ptgds/Cyp4a12b",14
"GO:0006749","glutathione metabolic process","9/171","58/12443",0.155172413793103,11.2912885662432,9.27302066565608,8.46284763453759e-08,1.95661037310509e-05,1.8573723492643e-05,"Gstm4/Gstm3/Gstm1/Gstm2/Ethe1/Gsta2/Gstp2/Gsta1/Gsta13",9
"GO:0046394","carboxylic acid biosynthetic process","18/171","295/12443",0.0610169491525424,4.43996431757359,7.05826621409394,1.2282399039082e-07,2.58153696166887e-05,2.45060306186469e-05,"Gstm4/Per2/Gstm1/Osbpl3/Gstm2/Fabp5/Cyp2c69/Dhrs9/Scd1/Gstp2/Mthfd2/Mthfd1l/Alox12/Cyp2c40/Ptgds/Cyp4a12b/Elovl3/Asns",18
"GO:0009410","response to xenobiotic stimulus","19/171","348/12443",0.0545977011494253,3.97286079182631,6.63967373594528,3.04657185005934e-07,5.86972843111433e-05,5.57201956787169e-05,"Gstm4/Cyp2c55/Gstm3/Cyp2b9/Cyp46a1/Gstm1/Gstm2/Lcn2/Cyp2c29/Gsta2/Cyp2b13/Cyp2c69/Gstp2/Cyp3a11/Rorc/Cyp2c40/Fmo2/Gsta1/Gsta13",19
"GO:0019369","arachidonate metabolic process","9/171","68/12443",0.132352941176471,9.63080495356037,8.42400537153197,3.48181801313202e-07,6.19227942027787e-05,5.87821097763584e-05,"Cyp2c55/Cyp2b9/Cyp2c29/Cyp2b13/Cyp2c69/Alox12/Cyp2c40/Ptgds/Cyp4a12b",9
"GO:0072330","monocarboxylic acid biosynthetic process","14/171","199/12443",0.0703517587939698,5.11922184019513,6.91457576380721,6.0909223274377e-07,0.000100587231578828,9.54855116744933e-05,"Gstm4/Per2/Gstm1/Osbpl3/Gstm2/Fabp5/Dhrs9/Scd1/Gstp2/Mthfd2/Mthfd1l/Alox12/Ptgds/Elovl3",14
"GO:0006575","modified amino acid metabolic process","12/171","151/12443",0.0794701986754967,5.78273498315325,6.97973598004628,1.10496188768296e-06,0.000170311458954867,0.000161673370934664,"Gstm4/Gstm3/Gstm1/Gstm2/Vnn1/Ethe1/Gsta2/Gstp2/Mthfd2/Mthfd1l/Gsta1/Gsta13",12
"GO:0019373","epoxygenase P450 pathway","6/171","27/12443",0.222222222222222,16.1702404158545,9.31470218622327,1.43754478355052e-06,0.00020772522122305,0.00019718953116466,"Cyp2c55/Cyp2b9/Cyp2c29/Cyp2b13/Cyp2c69/Cyp2c40",6
"GO:0006693","prostaglandin metabolic process","7/171","50/12443",0.14,10.1872514619883,7.68365508202787,4.9717868358527e-06,0.000676163009675967,0.000641868455278816,"Gstm1/Ces2a/Fabp5/Gstp2/Ptgds/Ces2h/Gsta1",7
"GO:0006692","prostanoid metabolic process","7/171","51/12443",0.137254901960784,9.98750143332187,7.5916965197993,5.69660865401215e-06,0.000731697733782005,0.000694586493778675,"Gstm1/Ces2a/Fabp5/Gstp2/Ptgds/Ces2h/Gsta1",7
"GO:0006720","isoprenoid metabolic process","9/171","99/12443",0.0909090909090909,6.61509835194046,6.62113569914463,8.49783409514144e-06,0.000986003953606857,0.000935994465156755,"Cyp2c55/Ces2a/Cyp2c69/Dhrs9/Cyp3a11/Rdh11/Mvd/Cyp2c40/Hmgcs1",9
"GO:0006790","sulfur compound metabolic process","14/171","249/12443",0.0562248995983936,4.09126564738486,5.81632125809922,8.52944596545724e-06,0.000986003953606857,0.000935994465156755,"Gstm4/Gstm3/Csad/Gstm1/Gstm2/Vnn1/Ethe1/Gsta2/Gstp2/Mvd/Elovl3/Hmgcs1/Gsta1/Gsta13",14
"GO:0120162","positive regulation of cold-induced thermogenesis","8/171","78/12443",0.102564102564103,7.46318788424052,6.75900087082784,1.11732507363502e-05,0.00123012170011627,0.00116773071605464,"Per2/Lcn2/Fabp5/Scd1/Lpin1/Gadd45g/Esrrg/Elovl3",8
"GO:0035634","response to stilbenoid","5/171","24/12443",0.208333333333333,15.1596003898635,8.19594026876232,1.59015246100939e-05,0.00167110567720623,0.00158634826851894,"Cyp2b9/Saa2/Gsta2/Saa3/Gsta1",5
"GO:0006721","terpenoid metabolic process","8/171","84/12443",0.0952380952380952,6.93010303536619,6.43718064195968,1.93725725322206e-05,0.0019473646823693,0.00184859559403569,"Cyp2c55/Ces2a/Cyp2c69/Dhrs9/Cyp3a11/Rdh11/Cyp2c40/Hmgcs1",8
"GO:0070989","oxidative demethylation","4/171","14/12443",0.285714285714286,20.7903091060986,8.74548666185755,3.09577429221176e-05,0.00298226256816399,0.00283100412248312,"Cyp3a59/Cyp2c69/Cyp3a11/Cyp2c40",4
"GO:0042573","retinoic acid metabolic process","5/171","28/12443",0.178571428571429,12.9939431913116,7.4998593978356,3.51681656757904e-05,0.00325235196169709,0.00308739475511675,"Cyp2c55/Cyp2c69/Dhrs9/Cyp3a11/Cyp2c40",5
"GO:0001523","retinoid metabolic process","7/171","68/12443",0.102941176470588,7.4906260749914,6.33510654157208,3.92101043453813e-05,0.00348668312486622,0.0033098407919077,"Cyp2c55/Ces2a/Cyp2c69/Dhrs9/Cyp3a11/Rdh11/Cyp2c40",7
"GO:0008202","steroid metabolic process","14/171","288/12443",0.0486111111111111,3.53724009096816,5.14239943965489,4.33014736610738e-05,0.00370788915201491,0.00351982739116331,"Cyp2b9/Cyp46a1/Osbpl3/Cyp3a59/Sqle/Cyp2b13/Cyp2c69/Saa1/Dhrs9/Cyp3a11/Rorc/Mvd/Cyp2c40/Hmgcs1",14
"GO:0016101","diterpenoid metabolic process","7/171","71/12443",0.0985915492957746,7.17412074787909,6.15842728438641,5.19625266385096e-05,0.00429062005672265,0.00407300255794333,"Cyp2c55/Ces2a/Cyp2c69/Dhrs9/Cyp3a11/Rdh11/Cyp2c40",7
"GO:0043603","amide metabolic process","17/171","413/12443",0.0411622276029056,2.99521402375996,4.8676257650969,5.39785040769365e-05,0.00430338970434059,0.00408512453722006,"Gstm4/Gstm3/Gstm1/Gm2a/Gstm2/Vnn1/Ethe1/Gsta2/Degs1l/Gstp2/Trem2/Mvd/Elovl3/Hmgcs1/Asns/Gsta1/Gsta13",17
